timestamp,cpu_usage,mem_usage,net_rx,net_tx
1763427188.036451,0.002368653172000442,48197632.0,0,0
1763427203.0613117,0.0018271720903693268,48197632.0,0,0
1763427218.0950143,0.002134102953250546,48197632.0,0,0
1763427233.1262367,0.002100309907939099,48197632.0,0,0
1763427248.1506913,0.0022703319227717674,48201728.0,0,0
1763427263.1744227,0.0021498520462286033,48201728.0,0,0
1763427278.1889162,0.001678919751196437,48201728.0,0,0
1763427293.2173827,0.0016891178313628325,48201728.0,0,0
1763427308.242421,0.002087650567185114,48201728.0,0,0
1763427323.2805855,0.0020327452240462346,48463872.0,0,0
1763427338.3083591,0.002267963777150711,48717824.0,0,0
1763427353.3386116,0.001472000000000007,48201728.0,0,0
1763427368.3658044,0.0020825153302711933,48201728.0,0,0
1763427383.4081888,0.002227948096392406,48226304.0,0,0
1763427398.4306614,0.0023779044532538265,48201728.0,0,0
1763427413.4481785,0.00218976500350515,48201728.0,0,0
1763427428.4736898,0.0021289026275116054,48201728.0,0,0
1763427443.5118945,0.0021538074437891276,48201728.0,0,0
1763427458.5396712,0.0016424344556860441,48201728.0,0,0
1763427473.5620337,0.0022592062433820772,49242112.0,0,0
